original list of left values

7FFE8E184E0	00000000	3D4CCCCE	3D4CCCCE
7FFE8E184EC	3E231BE8	00000000	00000000
7FFE9F52710	00700600	00700000	00700000 <<<
7FFE9F52714	3FD73908	00000000	00000000
7FFEB8D6430	00000028	00000000	00000000
7FFEB8D6464	00020101	00020001	00020001
7FFED5ECDDC	00000001	00000000	00000000
7FFED6C9B00	00010000	00000000	00000000
7FFF23551A0	3E231BE8	00000000	00000000
7FFF23551A4	3F800000	00000000	00000000
7FFF23551A8	3FD73908	00000000	00000000
7FFF235C45C	00000001	00000000	00000000
7FFF235C460	00000001	00000000	00000000
